AZARIAH	HIJO_DE	ODED	2CH 15:1
AZARIAH	HIJO_DE	ZADOK	1KI 4:2
AZARIAH	HIJO_DE	ZEPHANIAH	1CH 6:36
AZARIAH	REY_DE	JUDAH	2KI 15:17
AZARIAH	REY_DE	JUDAH	2KI 15:23
AZARIAH	REY_DE	JUDAH	2KI 15:27
AZARIAH	REY_DE	JUDAH	2KI 15:8
AZMAVETH	HIJO_DE	ADIEL	1CH 27:25
AZRIKAM	HIJO_DE	HASHABIAH	1CH 9:14
AZRIKAM	HIJO_DE	HASHABIAH	NEH 11:15
BAANA	HIJO_DE	AHILUD	1KI 4:12
BAANA	HIJO_DE	HUSHAI	1KI 4:16
BAASHA	HIJO_DE	AHIJAH	1KI 15:27
BAASHA	HIJO_DE	AHIJAH	1KI 15:33
BAASHA	HIJO_DE	AHIJAH	1KI 21:22
BAASHA	HIJO_DE	AHIJAH	2KI 9:9
BAASHA	REY_DE	ISRAEL	1KI 15:16
BAASHA	REY_DE	ISRAEL	1KI 15:17
BAASHA	REY_DE	ISRAEL	1KI 15:19
BAASHA	REY_DE	ISRAEL	1KI 15:32
BAASHA	REY_DE	ISRAEL	2CH 16:1
BAASHA	REY_DE	ISRAEL	2CH 16:3
BAASHA	REY_DE	ISRAEL	JER 41:9
BALAAM	HIJO_DE	BEOR	
BALAAM	HIJO_DE	BEOR	JOS 13:22
BALAAM	HIJO_DE	BEOR	JOS 24:9
BALAAM	HIJO_DE	BEOR	NUM 22:5
BALAAM	HIJO_DE	BEOR	NUM 31:8
BALAAM	HIJO_DE	BOSOR	2PE 2:15
BALADAN	HIJO_DE	BALADAN	2KI 20:12
BALADAN	HIJO_DE	BALADAN	ISA 39:1
BALADAN	REY_DE	BABYLON	2KI 20:12
BALADAN	REY_DE	BABYLON	ISA 39:1
BALAK	HIJO_DE	ZIPPOR	
BALAK	HIJO_DE	ZIPPOR	JDG 11:25
BALAK	HIJO_DE	ZIPPOR	JOS 24:9
BALAK	HIJO_DE	ZIPPOR	NUM 22:10
BALAK	HIJO_DE	ZIPPOR	NUM 22:16
BALAK	HIJO_DE	ZIPPOR	NUM 22:2
BALAK	REY_DE	MOAB	MIC 6:5
BARAK	HIJO_DE	ABINOAM	JDG 4:12
BARAK	HIJO_DE	ABINOAM	JDG 4:6
BARAK	HIJO_DE	ABINOAM	JDG 5:1
BARTIMAEUS	HIJO_DE	TIMAEUS	MAR 10:46
BARUCH	HIJO_DE	NERIAH	
BARUCH	HIJO_DE	NERIAH	JER 32:12
BARUCH	HIJO_DE	NERIAH	JER 32:16
BARUCH	HIJO_DE	NERIAH	JER 36:4
BARUCH	HIJO_DE	NERIAH	JER 36:8
BARUCH	HIJO_DE	NERIAH	JER 43:3
BARUCH	HIJO_DE	NERIAH	JER 43:6
BARUCH	HIJO_DE	NERIAH	JER 45:1
BASEMATH	ESPOSA_DE	ESAU	GEN 36:10
BELA	HIJO_DE	AZAZ	1CH 5:8
BELA	HIJO_DE	BEOR	1CH 1:43
BELA	HIJO_DE	BEOR	GEN 36:32
BELSHAZZAR	REY_DE	BABYLON	DAN 7:1
BENAIAH	HIJO_DE	JEHOIADA	1CH 11:22
BENAIAH	HIJO_DE	JEHOIADA	1CH 11:24
BENAIAH	HIJO_DE	JEHOIADA	1CH 18:17
BENAIAH	HIJO_DE	JEHOIADA	1CH 27:5
BENAIAH	HIJO_DE	JEHOIADA	1KI 1:26
BENAIAH	HIJO_DE	JEHOIADA	1KI 1:32
BENAIAH	HIJO_DE	JEHOIADA	1KI 1:36
BENAIAH	HIJO_DE	JEHOIADA	1KI 1:38
BENAIAH	HIJO_DE	JEHOIADA	1KI 1:44
BENAIAH	HIJO_DE	JEHOIADA	1KI 1:8
BENAIAH	HIJO_DE	JEHOIADA	1KI 2:25
BENAIAH	HIJO_DE	JEHOIADA	1KI 2:29
BENAIAH	HIJO_DE	JEHOIADA	1KI 2:34
BENAIAH	HIJO_DE	JEHOIADA	1KI 2:35
BENAIAH	HIJO_DE	JEHOIADA	1KI 2:46
BENAIAH	HIJO_DE	JEHOIADA	1KI 4:4
BENAIAH	HIJO_DE	JEHOIADA	2SA 20:23
BENAIAH	HIJO_DE	JEHOIADA	2SA 23:20
BENAIAH	HIJO_DE	JEHOIADA	2SA 23:22
BENAIAH	HIJO_DE	JEHOIADA	2SA 8:18
BENAIAH	HIJO_DE	JEIEL	2CH 20:14
BENHADAD	HIJO_DE	HAZAEL	2KI 13:25
BENHADAD	HIJO_DE	HAZAEL	2KI 13:3
BENHADAD	REY_DE	SYRIA	2KI 6:24
BENHADAD	REY_DE	SYRIA	2KI 8:9
BERA	REY_DE	SODOM	GEN 14:2
BERECHIAH	HIJO_DE	ASA	1CH 9:16
BERECHIAH	HIJO_DE	MESHILLEMOTH	2CH 28:12
BETHUEL	HIJO_DE	MILCAH	GEN 24:15
BETHUEL	HIJO_DE	MILCAH	GEN 24:24
BEZALEL	HIJO_DE	URI	EXO 31:2
BEZALEL	HIJO_DE	URI	EXO 35:30
BEZALEL	HIJO_DE	URI	EXO 38:22
BIRSHA	REY_DE	GOMORRAH	GEN 14:2
BOHAN	HIJO_DE	REUBEN	JOS 15:6
BOHAN	HIJO_DE	REUBEN	JOS 18:17
BUKKI	HIJO_DE	JOGLI	NUM 34:22
CALEB	HERMANO_DE	JERAHMEEL	1CH 2:42
CALEB	HIJO_DE	HEZRON	1CH 2:18
CALEB	HIJO_DE	HUR	1CH 2:50
CALEB	HIJO_DE	JEPHUNNEH	1CH 4:15
CALEB	HIJO_DE	JEPHUNNEH	1CH 6:56
CALEB	HIJO_DE	JEPHUNNEH	DEU 1:36
CALEB	HIJO_DE	JEPHUNNEH	JOS 14:13
CALEB	HIJO_DE	JEPHUNNEH	JOS 14:14
CALEB	HIJO_DE	JEPHUNNEH	JOS 14:6
CALEB	HIJO_DE	JEPHUNNEH	JOS 15:13
CALEB	HIJO_DE	JEPHUNNEH	NUM 13:6
CALEB	HIJO_DE	JEPHUNNEH	NUM 14:30
CALEB	HIJO_DE	JEPHUNNEH	NUM 14:38
CALEB	HIJO_DE	JEPHUNNEH	NUM 14:6
CALEB	HIJO_DE	JEPHUNNEH	NUM 26:65
